tool	rank	metric	sample	value
Gold standard	family	L1 norm error	0	0.0
Gold standard	genus	L1 norm error	0	0.0
Gold standard	species	L1 norm error	0	0.0
Gold standard	strain	L1 norm error	0	0.0
Gold standard	na	Weighted UniFrac error	0	0.0
Gold standard	na	Unweighted UniFrac error	0	0.0
Gold standard	na	Weighted UniFrac (CAMI)	0	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	0	0.0
Gold standard	superkingdom	Sum of abundances	0	0.01
Gold standard	phylum	Sum of abundances	0	0.01
Gold standard	class	Sum of abundances	0	0.01
Gold standard	order	Sum of abundances	0	0.009999999999999998
Gold standard	family	Sum of abundances	0	0.009937386828999998
Gold standard	genus	Sum of abundances	0	0.010000000000000002
Gold standard	species	Sum of abundances	0	0.010000000003000003
Gold standard	strain	Sum of abundances	0	0.0009725348150000003
Gold standard	superkingdom	Taxon counts	0	1.0
Gold standard	phylum	Taxon counts	0	1.0
Gold standard	class	Taxon counts	0	1.0
Gold standard	order	Taxon counts	0	4.0
Gold standard	family	Taxon counts	0	19.0
Gold standard	genus	Taxon counts	0	113.0
Gold standard	species	Taxon counts	0	337.0
Gold standard	strain	Taxon counts	0	99.0
Gold standard	superkingdom	Bray-Curtis distance	1	0.0
Gold standard	phylum	Bray-Curtis distance	1	0.0
Gold standard	class	Bray-Curtis distance	1	0.0
Gold standard	order	Bray-Curtis distance	1	0.0
Gold standard	family	Bray-Curtis distance	1	0.0
Gold standard	genus	Bray-Curtis distance	1	0.0
Gold standard	species	Bray-Curtis distance	1	0.0
Gold standard	strain	Bray-Curtis distance	1	0.0
Gold standard	superkingdom	Shannon diversity	1	0.04605170185988091
Gold standard	superkingdom	Shannon equitability	1	0.0
Gold standard	phylum	Shannon diversity	1	0.04605170185988091
Gold standard	phylum	Shannon equitability	1	0.0
Gold standard	class	Shannon diversity	1	0.04605170185988091
Gold standard	class	Shannon equitability	1	0.0
Gold standard	order	Shannon diversity	1	0.04707984396731835
Gold standard	order	Shannon equitability	1	0.03396092870873818
Gold standard	family	Shannon diversity	1	0.06152444950330318
Gold standard	family	Shannon equitability	1	0.020895134841857215
Gold standard	genus	Shannon diversity	1	0.07314254550195659
Gold standard	genus	Shannon equitability	1	0.015472084860996101
Gold standard	species	Shannon diversity	1	0.0865283511276817
Gold standard	species	Shannon equitability	1	0.014867202437344492
Gold standard	strain	Shannon diversity	1	0.012109952777253638
Gold standard	strain	Shannon equitability	1	0.0026353943253294996
Gold standard	superkingdom	F1 score	1	1.0
Gold standard	superkingdom	False negatives	1	0.0
Gold standard	superkingdom	False positives	1	0.0
Gold standard	superkingdom	Jaccard index	1	1.0
Gold standard	superkingdom	Purity	1	1.0
Gold standard	superkingdom	Completeness	1	1.0
Gold standard	superkingdom	True positives	1	1.0
Gold standard	phylum	F1 score	1	1.0
Gold standard	phylum	False negatives	1	0.0
Gold standard	phylum	False positives	1	0.0
Gold standard	phylum	Jaccard index	1	1.0
Gold standard	phylum	Purity	1	1.0
Gold standard	phylum	Completeness	1	1.0
Gold standard	phylum	True positives	1	1.0
Gold standard	class	F1 score	1	1.0
Gold standard	class	False negatives	1	0.0
Gold standard	class	False positives	1	0.0
Gold standard	class	Jaccard index	1	1.0
Gold standard	class	Purity	1	1.0
Gold standard	class	Completeness	1	1.0
Gold standard	class	True positives	1	1.0
Gold standard	order	F1 score	1	1.0
Gold standard	order	False negatives	1	0.0
Gold standard	order	False positives	1	0.0
Gold standard	order	Jaccard index	1	1.0
Gold standard	order	Purity	1	1.0
Gold standard	order	Completeness	1	1.0
Gold standard	order	True positives	1	4.0
Gold standard	family	F1 score	1	1.0
Gold standard	family	False negatives	1	0.0
Gold standard	family	False positives	1	0.0
Gold standard	family	Jaccard index	1	1.0
Gold standard	family	Purity	1	1.0
Gold standard	family	Completeness	1	1.0
Gold standard	family	True positives	1	19.0
Gold standard	genus	F1 score	1	1.0
Gold standard	genus	False negatives	1	0.0
Gold standard	genus	False positives	1	0.0
Gold standard	genus	Jaccard index	1	1.0
Gold standard	genus	Purity	1	1.0
Gold standard	genus	Completeness	1	1.0
Gold standard	genus	True positives	1	113.0
Gold standard	species	F1 score	1	1.0
Gold standard	species	False negatives	1	0.0
Gold standard	species	False positives	1	0.0
Gold standard	species	Jaccard index	1	1.0
Gold standard	species	Purity	1	1.0
Gold standard	species	Completeness	1	1.0
Gold standard	species	True positives	1	337.0
Gold standard	strain	F1 score	1	1.0
Gold standard	strain	False negatives	1	0.0
Gold standard	strain	False positives	1	0.0
Gold standard	strain	Jaccard index	1	1.0
Gold standard	strain	Purity	1	1.0
Gold standard	strain	Completeness	1	1.0
Gold standard	strain	True positives	1	99.0
Gold standard	superkingdom	L1 norm error	1	0.0
Gold standard	phylum	L1 norm error	1	0.0
Gold standard	class	L1 norm error	1	0.0
Gold standard	order	L1 norm error	1	0.0
Gold standard	family	L1 norm error	1	0.0
Gold standard	genus	L1 norm error	1	0.0
Gold standard	species	L1 norm error	1	0.0
Gold standard	strain	L1 norm error	1	0.0
Gold standard	na	Weighted UniFrac error	1	0.0
Gold standard	na	Unweighted UniFrac error	1	0.0
Gold standard	na	Weighted UniFrac (CAMI)	1	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	1	0.0
Gold standard	superkingdom	Sum of abundances	1	0.01
Gold standard	phylum	Sum of abundances	1	0.01
Gold standard	class	Sum of abundances	1	0.01
Gold standard	order	Sum of abundances	1	0.01
Gold standard	family	Sum of abundances	1	0.009924761521
Gold standard	genus	Sum of abundances	1	0.010000000006000005
Gold standard	species	Sum of abundances	1	0.009999999999000002
Gold standard	strain	Sum of abundances	1	0.0010647588289999994
Gold standard	superkingdom	Taxon counts	1	1.0
Gold standard	phylum	Taxon counts	1	1.0
Gold standard	class	Taxon counts	1	1.0
Gold standard	order	Taxon counts	1	4.0
Gold standard	family	Taxon counts	1	19.0
Gold standard	genus	Taxon counts	1	113.0
Gold standard	species	Taxon counts	1	337.0
Gold standard	strain	Taxon counts	1	99.0
Gold standard	superkingdom	Bray-Curtis distance	2	0.0
Gold standard	phylum	Bray-Curtis distance	2	0.0
Gold standard	class	Bray-Curtis distance	2	0.0
Gold standard	order	Bray-Curtis distance	2	0.0
Gold standard	family	Bray-Curtis distance	2	0.0
Gold standard	genus	Bray-Curtis distance	2	0.0
Gold standard	species	Bray-Curtis distance	2	0.0
Gold standard	strain	Bray-Curtis distance	2	0.0
Gold standard	superkingdom	Shannon diversity	2	0.04605170185988091
Gold standard	superkingdom	Shannon equitability	2	0.0
Gold standard	phylum	Shannon diversity	2	0.04605170185988091
Gold standard	phylum	Shannon equitability	2	0.0
Gold standard	class	Shannon diversity	2	0.04605170185988091
Gold standard	class	Shannon equitability	2	0.0
Gold standard	order	Shannon diversity	2	0.04707984396731835
Gold standard	order	Shannon equitability	2	0.03396092870873818
Gold standard	family	Shannon diversity	2	0.06152444950330318
Gold standard	family	Shannon equitability	2	0.020895134841857215
Gold standard	genus	Shannon diversity	2	0.07314254550195659
Gold standard	genus	Shannon equitability	2	0.015472084860996101
Gold standard	species	Shannon diversity	2	0.0865283511276817
Gold standard	species	Shannon equitability	2	0.014867202437344492
Gold standard	strain	Shannon diversity	2	0.012109952777253638
Gold standard	strain	Shannon equitability	2	0.0026353943253294996
Gold standard	superkingdom	F1 score	2	1.0
Gold standard	superkingdom	False negatives	2	0.0
Gold standard	superkingdom	False positives	2	0.0
Gold standard	superkingdom	Jaccard index	2	1.0
Gold standard	superkingdom	Purity	2	1.0
Gold standard	superkingdom	Completeness	2	1.0
Gold standard	superkingdom	True positives	2	1.0
Gold standard	phylum	F1 score	2	1.0
Gold standard	phylum	False negatives	2	0.0
Gold standard	phylum	False positives	2	0.0
Gold standard	phylum	Jaccard index	2	1.0
Gold standard	phylum	Purity	2	1.0
Gold standard	phylum	Completeness	2	1.0
Gold standard	phylum	True positives	2	1.0
Gold standard	class	F1 score	2	1.0
Gold standard	class	False negatives	2	0.0
Gold standard	class	False positives	2	0.0
Gold standard	class	Jaccard index	2	1.0
Gold standard	class	Purity	2	1.0
Gold standard	class	Completeness	2	1.0
Gold standard	class	True positives	2	1.0
Gold standard	order	F1 score	2	1.0
Gold standard	order	False negatives	2	0.0
Gold standard	order	False positives	2	0.0
Gold standard	order	Jaccard index	2	1.0
Gold standard	order	Purity	2	1.0
Gold standard	order	Completeness	2	1.0
Gold standard	order	True positives	2	4.0
Gold standard	family	F1 score	2	1.0
Gold standard	family	False negatives	2	0.0
Gold standard	family	False positives	2	0.0
Gold standard	family	Jaccard index	2	1.0
Gold standard	family	Purity	2	1.0
Gold standard	family	Completeness	2	1.0
Gold standard	family	True positives	2	19.0
Gold standard	genus	F1 score	2	1.0
Gold standard	genus	False negatives	2	0.0
Gold standard	genus	False positives	2	0.0
Gold standard	genus	Jaccard index	2	1.0
Gold standard	genus	Purity	2	1.0
Gold standard	genus	Completeness	2	1.0
Gold standard	genus	True positives	2	113.0
Gold standard	species	F1 score	2	1.0
Gold standard	species	False negatives	2	0.0
Gold standard	species	False positives	2	0.0
Gold standard	species	Jaccard index	2	1.0
Gold standard	species	Purity	2	1.0
Gold standard	species	Completeness	2	1.0
Gold standard	species	True positives	2	337.0
Gold standard	strain	F1 score	2	1.0
Gold standard	strain	False negatives	2	0.0
Gold standard	strain	False positives	2	0.0
Gold standard	strain	Jaccard index	2	1.0
Gold standard	strain	Purity	2	1.0
Gold standard	strain	Completeness	2	1.0
Gold standard	strain	True positives	2	99.0
Gold standard	superkingdom	L1 norm error	2	0.0
Gold standard	phylum	L1 norm error	2	0.0
Gold standard	class	L1 norm error	2	0.0
Gold standard	order	L1 norm error	2	0.0
Gold standard	family	L1 norm error	2	0.0
Gold standard	genus	L1 norm error	2	0.0
Gold standard	species	L1 norm error	2	0.0
Gold standard	strain	L1 norm error	2	0.0
Gold standard	na	Weighted UniFrac error	2	0.0
Gold standard	na	Unweighted UniFrac error	2	0.0
Gold standard	na	Weighted UniFrac (CAMI)	2	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	2	0.0
Gold standard	superkingdom	Sum of abundances	2	0.01
Gold standard	phylum	Sum of abundances	2	0.01
Gold standard	class	Sum of abundances	2	0.01
Gold standard	order	Sum of abundances	2	0.01
Gold standard	family	Sum of abundances	2	0.009924761521
Gold standard	genus	Sum of abundances	2	0.010000000006000005
Gold standard	species	Sum of abundances	2	0.009999999999000002
Gold standard	strain	Sum of abundances	2	0.0010647588289999994
Gold standard	superkingdom	Taxon counts	2	1.0
Gold standard	phylum	Taxon counts	2	1.0
Gold standard	class	Taxon counts	2	1.0
Gold standard	order	Taxon counts	2	4.0
Gold standard	family	Taxon counts	2	19.0
Gold standard	genus	Taxon counts	2	113.0
Gold standard	species	Taxon counts	2	337.0
Gold standard	strain	Taxon counts	2	99.0
Gold standard	superkingdom	Bray-Curtis distance	3	0.0
Gold standard	phylum	Bray-Curtis distance	3	0.0
Gold standard	class	Bray-Curtis distance	3	0.0
Gold standard	order	Bray-Curtis distance	3	0.0
Gold standard	family	Bray-Curtis distance	3	0.0
Gold standard	genus	Bray-Curtis distance	3	0.0
Gold standard	species	Bray-Curtis distance	3	0.0
Gold standard	strain	Bray-Curtis distance	3	0.0
Gold standard	superkingdom	Shannon diversity	3	0.04605170185988091
Gold standard	superkingdom	Shannon equitability	3	0.0
Gold standard	phylum	Shannon diversity	3	0.04605170185988091
Gold standard	phylum	Shannon equitability	3	0.0
Gold standard	class	Shannon diversity	3	0.04605170185988091
Gold standard	class	Shannon equitability	3	0.0
Gold standard	order	Shannon diversity	3	0.04707984396731835
Gold standard	order	Shannon equitability	3	0.03396092870873818
Gold standard	family	Shannon diversity	3	0.06152444950330318
Gold standard	family	Shannon equitability	3	0.020895134841857215
Gold standard	genus	Shannon diversity	3	0.07314254550195659
Gold standard	genus	Shannon equitability	3	0.015472084860996101
Gold standard	species	Shannon diversity	3	0.0865283511276817
Gold standard	species	Shannon equitability	3	0.014867202437344492
Gold standard	strain	Shannon diversity	3	0.012109952777253638
Gold standard	strain	Shannon equitability	3	0.0026353943253294996
Gold standard	superkingdom	F1 score	3	1.0
Gold standard	superkingdom	False negatives	3	0.0
Gold standard	superkingdom	False positives	3	0.0
Gold standard	superkingdom	Jaccard index	3	1.0
Gold standard	superkingdom	Purity	3	1.0
Gold standard	superkingdom	Completeness	3	1.0
Gold standard	superkingdom	True positives	3	1.0
Gold standard	phylum	F1 score	3	1.0
Gold standard	phylum	False negatives	3	0.0
Gold standard	phylum	False positives	3	0.0
Gold standard	phylum	Jaccard index	3	1.0
Gold standard	phylum	Purity	3	1.0
Gold standard	phylum	Completeness	3	1.0
Gold standard	phylum	True positives	3	1.0
Gold standard	class	F1 score	3	1.0
Gold standard	class	False negatives	3	0.0
Gold standard	class	False positives	3	0.0
Gold standard	class	Jaccard index	3	1.0
Gold standard	class	Purity	3	1.0
Gold standard	class	Completeness	3	1.0
Gold standard	class	True positives	3	1.0
Gold standard	order	F1 score	3	1.0
Gold standard	order	False negatives	3	0.0
Gold standard	order	False positives	3	0.0
Gold standard	order	Jaccard index	3	1.0
Gold standard	order	Purity	3	1.0
Gold standard	order	Completeness	3	1.0
Gold standard	order	True positives	3	4.0
Gold standard	family	F1 score	3	1.0
Gold standard	family	False negatives	3	0.0
Gold standard	family	False positives	3	0.0
Gold standard	family	Jaccard index	3	1.0
Gold standard	family	Purity	3	1.0
Gold standard	family	Completeness	3	1.0
Gold standard	family	True positives	3	19.0
Gold standard	genus	F1 score	3	1.0
Gold standard	genus	False negatives	3	0.0
Gold standard	genus	False positives	3	0.0
Gold standard	genus	Jaccard index	3	1.0
Gold standard	genus	Purity	3	1.0
Gold standard	genus	Completeness	3	1.0
Gold standard	genus	True positives	3	113.0
Gold standard	species	F1 score	3	1.0
Gold standard	species	False negatives	3	0.0
Gold standard	species	False positives	3	0.0
Gold standard	species	Jaccard index	3	1.0
Gold standard	species	Purity	3	1.0
Gold standard	species	Completeness	3	1.0
Gold standard	species	True positives	3	337.0
Gold standard	strain	F1 score	3	1.0
Gold standard	strain	False negatives	3	0.0
Gold standard	strain	False positives	3	0.0
Gold standard	strain	Jaccard index	3	1.0
Gold standard	strain	Purity	3	1.0
Gold standard	strain	Completeness	3	1.0
Gold standard	strain	True positives	3	99.0
Gold standard	superkingdom	L1 norm error	3	0.0
Gold standard	phylum	L1 norm error	3	0.0
Gold standard	class	L1 norm error	3	0.0
Gold standard	order	L1 norm error	3	0.0
Gold standard	family	L1 norm error	3	0.0
Gold standard	genus	L1 norm error	3	0.0
Gold standard	species	L1 norm error	3	0.0
Gold standard	strain	L1 norm error	3	0.0
Gold standard	na	Weighted UniFrac error	3	0.0
Gold standard	na	Unweighted UniFrac error	3	0.0
Gold standard	na	Weighted UniFrac (CAMI)	3	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	3	0.0
Gold standard	superkingdom	Sum of abundances	3	0.01
Gold standard	phylum	Sum of abundances	3	0.01
Gold standard	class	Sum of abundances	3	0.01
Gold standard	order	Sum of abundances	3	0.01
Gold standard	family	Sum of abundances	3	0.009924761521
Gold standard	genus	Sum of abundances	3	0.010000000006000005
Gold standard	species	Sum of abundances	3	0.009999999999000002
Gold standard	strain	Sum of abundances	3	0.0010647588289999994
Gold standard	superkingdom	Taxon counts	3	1.0
Gold standard	phylum	Taxon counts	3	1.0
Gold standard	class	Taxon counts	3	1.0
Gold standard	order	Taxon counts	3	4.0
Gold standard	family	Taxon counts	3	19.0
Gold standard	genus	Taxon counts	3	113.0
Gold standard	species	Taxon counts	3	337.0
Gold standard	strain	Taxon counts	3	99.0
Gold standard	superkingdom	Bray-Curtis distance	4	0.0
Gold standard	phylum	Bray-Curtis distance	4	0.0
Gold standard	class	Bray-Curtis distance	4	0.0
Gold standard	order	Bray-Curtis distance	4	0.0
Gold standard	family	Bray-Curtis distance	4	0.0
Gold standard	genus	Bray-Curtis distance	4	0.0
Gold standard	species	Bray-Curtis distance	4	0.0
Gold standard	strain	Bray-Curtis distance	4	0.0
Gold standard	superkingdom	Shannon diversity	4	0.04605170185988091
Gold standard	superkingdom	Shannon equitability	4	0.0
Gold standard	phylum	Shannon diversity	4	0.04605170185988091
Gold standard	phylum	Shannon equitability	4	0.0
Gold standard	class	Shannon diversity	4	0.04605170185988091
Gold standard	class	Shannon equitability	4	0.0
Gold standard	order	Shannon diversity	4	0.04707984396731835
Gold standard	order	Shannon equitability	4	0.03396092870873818
Gold standard	family	Shannon diversity	4	0.06152444950330318
Gold standard	family	Shannon equitability	4	0.020895134841857215
Gold standard	genus	Shannon diversity	4	0.07314254550195659
Gold standard	genus	Shannon equitability	4	0.015472084860996101
Gold standard	species	Shannon diversity	4	0.0865283511276817
Gold standard	species	Shannon equitability	4	0.014867202437344492
Gold standard	strain	Shannon diversity	4	0.012109952777253638
Gold standard	strain	Shannon equitability	4	0.0026353943253294996
Gold standard	superkingdom	F1 score	4	1.0
Gold standard	superkingdom	False negatives	4	0.0
Gold standard	superkingdom	False positives	4	0.0
Gold standard	superkingdom	Jaccard index	4	1.0
Gold standard	superkingdom	Purity	4	1.0
Gold standard	superkingdom	Completeness	4	1.0
Gold standard	superkingdom	True positives	4	1.0
Gold standard	phylum	F1 score	4	1.0
Gold standard	phylum	False negatives	4	0.0
Gold standard	phylum	False positives	4	0.0
Gold standard	phylum	Jaccard index	4	1.0
Gold standard	phylum	Purity	4	1.0
Gold standard	phylum	Completeness	4	1.0
Gold standard	phylum	True positives	4	1.0
Gold standard	class	F1 score	4	1.0
Gold standard	class	False negatives	4	0.0
Gold standard	class	False positives	4	0.0
Gold standard	class	Jaccard index	4	1.0
Gold standard	class	Purity	4	1.0
Gold standard	class	Completeness	4	1.0
Gold standard	class	True positives	4	1.0
Gold standard	order	F1 score	4	1.0
Gold standard	order	False negatives	4	0.0
Gold standard	order	False positives	4	0.0
Gold standard	order	Jaccard index	4	1.0
Gold standard	order	Purity	4	1.0
Gold standard	order	Completeness	4	1.0
Gold standard	order	True positives	4	4.0
Gold standard	family	F1 score	4	1.0
Gold standard	family	False negatives	4	0.0
Gold standard	family	False positives	4	0.0
Gold standard	family	Jaccard index	4	1.0
Gold standard	family	Purity	4	1.0
Gold standard	family	Completeness	4	1.0
Gold standard	family	True positives	4	19.0
Gold standard	genus	F1 score	4	1.0
Gold standard	genus	False negatives	4	0.0
Gold standard	genus	False positives	4	0.0
Gold standard	genus	Jaccard index	4	1.0
Gold standard	genus	Purity	4	1.0
Gold standard	genus	Completeness	4	1.0
Gold standard	genus	True positives	4	113.0
Gold standard	species	F1 score	4	1.0
Gold standard	species	False negatives	4	0.0
Gold standard	species	False positives	4	0.0
Gold standard	species	Jaccard index	4	1.0
Gold standard	species	Purity	4	1.0
Gold standard	species	Completeness	4	1.0
Gold standard	species	True positives	4	337.0
Gold standard	strain	F1 score	4	1.0
Gold standard	strain	False negatives	4	0.0
Gold standard	strain	False positives	4	0.0
Gold standard	strain	Jaccard index	4	1.0
Gold standard	strain	Purity	4	1.0
Gold standard	strain	Completeness	4	1.0
Gold standard	strain	True positives	4	99.0
Gold standard	superkingdom	L1 norm error	4	0.0
Gold standard	phylum	L1 norm error	4	0.0
Gold standard	class	L1 norm error	4	0.0
Gold standard	order	L1 norm error	4	0.0
Gold standard	family	L1 norm error	4	0.0
Gold standard	genus	L1 norm error	4	0.0
Gold standard	species	L1 norm error	4	0.0
Gold standard	strain	L1 norm error	4	0.0
Gold standard	na	Weighted UniFrac error	4	0.0
Gold standard	na	Unweighted UniFrac error	4	0.0
Gold standard	na	Weighted UniFrac (CAMI)	4	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	4	0.0
Gold standard	superkingdom	Sum of abundances	4	0.01
Gold standard	phylum	Sum of abundances	4	0.01
Gold standard	class	Sum of abundances	4	0.01
Gold standard	order	Sum of abundances	4	0.01
Gold standard	family	Sum of abundances	4	0.009924761521
Gold standard	genus	Sum of abundances	4	0.010000000006000005
Gold standard	species	Sum of abundances	4	0.009999999999000002
Gold standard	strain	Sum of abundances	4	0.0010647588289999994
Gold standard	superkingdom	Taxon counts	4	1.0
Gold standard	phylum	Taxon counts	4	1.0
Gold standard	class	Taxon counts	4	1.0
Gold standard	order	Taxon counts	4	4.0
Gold standard	family	Taxon counts	4	19.0
Gold standard	genus	Taxon counts	4	113.0
Gold standard	species	Taxon counts	4	337.0
Gold standard	strain	Taxon counts	4	99.0
Gold standard	superkingdom	Bray-Curtis distance	5	0.0
Gold standard	phylum	Bray-Curtis distance	5	0.0
Gold standard	class	Bray-Curtis distance	5	0.0
Gold standard	order	Bray-Curtis distance	5	0.0
Gold standard	family	Bray-Curtis distance	5	0.0
Gold standard	genus	Bray-Curtis distance	5	0.0
Gold standard	species	Bray-Curtis distance	5	0.0
Gold standard	strain	Bray-Curtis distance	5	0.0
Gold standard	superkingdom	Shannon diversity	5	0.04605170185988091
Gold standard	superkingdom	Shannon equitability	5	0.0
Gold standard	phylum	Shannon diversity	5	0.04605170185988091
Gold standard	phylum	Shannon equitability	5	0.0
Gold standard	class	Shannon diversity	5	0.04605170185988091
Gold standard	class	Shannon equitability	5	0.0
Gold standard	order	Shannon diversity	5	0.04707984396731835
Gold standard	order	Shannon equitability	5	0.03396092870873818
Gold standard	family	Shannon diversity	5	0.06152444950330318
Gold standard	family	Shannon equitability	5	0.020895134841857215
Gold standard	genus	Shannon diversity	5	0.07314254550195659
Gold standard	genus	Shannon equitability	5	0.015472084860996101
Gold standard	species	Shannon diversity	5	0.0865283511276817
Gold standard	species	Shannon equitability	5	0.014867202437344492
Gold standard	strain	Shannon diversity	5	0.012109952777253638
Gold standard	strain	Shannon equitability	5	0.0026353943253294996
Gold standard	superkingdom	F1 score	5	1.0
Gold standard	superkingdom	False negatives	5	0.0
Gold standard	superkingdom	False positives	5	0.0
Gold standard	superkingdom	Jaccard index	5	1.0
Gold standard	superkingdom	Purity	5	1.0
Gold standard	superkingdom	Completeness	5	1.0
Gold standard	superkingdom	True positives	5	1.0
Gold standard	phylum	F1 score	5	1.0
Gold standard	phylum	False negatives	5	0.0
Gold standard	phylum	False positives	5	0.0
Gold standard	phylum	Jaccard index	5	1.0
Gold standard	phylum	Purity	5	1.0
Gold standard	phylum	Completeness	5	1.0
Gold standard	phylum	True positives	5	1.0
Gold standard	class	F1 score	5	1.0
Gold standard	class	False negatives	5	0.0
Gold standard	class	False positives	5	0.0
Gold standard	class	Jaccard index	5	1.0
Gold standard	class	Purity	5	1.0
Gold standard	class	Completeness	5	1.0
Gold standard	class	True positives	5	1.0
Gold standard	order	F1 score	5	1.0
Gold standard	order	False negatives	5	0.0
Gold standard	order	False positives	5	0.0
Gold standard	order	Jaccard index	5	1.0
Gold standard	order	Purity	5	1.0
Gold standard	order	Completeness	5	1.0
Gold standard	order	True positives	5	4.0
Gold standard	family	F1 score	5	1.0
Gold standard	family	False negatives	5	0.0
Gold standard	family	False positives	5	0.0
Gold standard	family	Jaccard index	5	1.0
Gold standard	family	Purity	5	1.0
Gold standard	family	Completeness	5	1.0
Gold standard	family	True positives	5	19.0
Gold standard	genus	F1 score	5	1.0
Gold standard	genus	False negatives	5	0.0
Gold standard	genus	False positives	5	0.0
Gold standard	genus	Jaccard index	5	1.0
Gold standard	genus	Purity	5	1.0
Gold standard	genus	Completeness	5	1.0
Gold standard	genus	True positives	5	113.0
Gold standard	species	F1 score	5	1.0
Gold standard	species	False negatives	5	0.0
Gold standard	species	False positives	5	0.0
Gold standard	species	Jaccard index	5	1.0
Gold standard	species	Purity	5	1.0
Gold standard	species	Completeness	5	1.0
Gold standard	species	True positives	5	337.0
Gold standard	strain	F1 score	5	1.0
Gold standard	strain	False negatives	5	0.0
Gold standard	strain	False positives	5	0.0
Gold standard	strain	Jaccard index	5	1.0
Gold standard	strain	Purity	5	1.0
Gold standard	strain	Completeness	5	1.0
Gold standard	strain	True positives	5	99.0
Gold standard	superkingdom	L1 norm error	5	0.0
Gold standard	phylum	L1 norm error	5	0.0
Gold standard	class	L1 norm error	5	0.0
Gold standard	order	L1 norm error	5	0.0
